ir,red,heart_rate,gsr,spo2,temp,cortisol
52484.0,45881.0,68.0,471.0,98.0,33.0,19.5
49309.0,45733.0,72.0,493.0,98.0,33.0,18.53
53238.0,39022.0,69.0,513.0,95.0,32.0,14.37
57615.0,46350.0,76.0,689.0,98.0,32.0,5.0
48829.0,51664.0,87.0,351.0,94.0,33.0,25.0
48829.0,41629.0,67.0,331.0,96.0,32.0,25.0
57896.0,53242.0,85.0,747.0,93.0,33.0,5.0
53837.0,50439.0,67.0,407.0,100.0,32.0,25.0
47653.0,44329.0,67.0,247.0,97.0,32.0,25.0
52713.0,47292.0,83.0,403.0,101.0,32.0,25.0
47683.0,55992.0,84.0,434.0,99.0,32.0,25.0
47671.0,51668.0,84.0,811.0,98.0,33.0,5.0
51210.0,48044.0,62.0,685.0,96.0,33.0,5.0
40434.0,46812.0,70.0,730.0,95.0,32.0,5.0
41375.0,48383.0,83.0,664.0,98.0,33.0,5.0
47189.0,45441.0,75.0,689.0,97.0,32.0,5.0
44936.0,37476.0,64.0,362.0,94.0,32.0,25.0
51571.0,58211.0,80.0,460.0,94.0,32.0,25.0
45460.0,48777.0,68.0,302.0,95.0,33.0,25.0
42938.0,49991.0,93.0,458.0,101.0,32.0,25.0
57328.0,47710.0,90.0,637.0,101.0,32.0,13.85
48871.0,44324.0,81.0,527.0,97.0,32.0,20.29
50338.0,47070.0,89.0,762.0,97.0,33.0,5.0
42876.0,40003.0,76.0,272.0,96.0,32.0,25.0
47278.0,59385.0,83.0,600.0,95.0,32.0,15.73
50555.0,41827.0,90.0,250.0,100.0,32.0,25.0
44245.0,42840.0,77.0,519.0,101.0,33.0,19.49
51878.0,45799.0,72.0,648.0,95.0,33.0,5.0
46997.0,54440.0,58.0,457.0,97.0,32.0,25.0
48542.0,48073.0,74.0,610.0,96.0,32.0,5.0
46991.0,41819.0,83.0,308.0,96.0,32.0,25.0
59261.0,54272.0,84.0,167.0,99.0,32.0,25.0
49933.0,51655.0,80.0,611.0,94.0,33.0,13.3
44711.0,50692.0,70.0,849.0,98.0,32.0,5.0
54113.0,51579.0,55.0,301.0,98.0,32.0,25.0
43896.0,59972.0,70.0,744.0,97.0,32.0,5.0
51044.0,58925.0,72.0,509.0,99.0,32.0,22.57
40202.0,44566.0,72.0,233.0,97.0,32.0,25.0
43359.0,56119.0,81.0,274.0,99.0,33.0,25.0
50984.0,49916.0,95.0,503.0,94.0,32.0,25.0
53692.0,50495.0,76.0,419.0,96.0,33.0,25.0
50857.0,39539.0,73.0,237.0,97.0,32.0,25.0
49422.0,47148.0,72.0,161.0,92.0,33.0,25.0
48494.0,43936.0,76.0,331.0,95.0,32.0,25.0
42607.0,52140.0,67.0,539.0,95.0,32.0,8.99
46401.0,53355.0,76.0,499.0,99.0,32.0,23.97
47697.0,37628.0,80.0,400.0,96.0,33.0,25.0
55286.0,47890.0,77.0,540.0,95.0,33.0,15.72
51718.0,53609.0,80.0,708.0,99.0,33.0,5.0
41185.0,47067.0,79.0,579.0,94.0,32.0,6.32
51620.0,51645.0,57.0,476.0,93.0,33.0,19.71
48075.0,49756.0,81.0,686.0,96.0,33.0,5.0
46615.0,49708.0,68.0,308.0,94.0,32.0,25.0
53058.0,46643.0,64.0,455.0,94.0,33.0,19.81
55155.0,41917.0,64.0,460.0,98.0,33.0,25.0
54656.0,42392.0,79.0,253.0,99.0,32.0,25.0
